time		temp
0.00274		2.0083
0.005479	2.8667
0.008219	2.075
0.010959	2.0708
0.013699	0.5583
0.016438	-3.5208
0.019178	-2.775
0.021918	-0.0958
0.024658	-2.4208
0.027397	-2.3292
0.030137	1.0917
0.032877	0.2667
0.035616	-0.7625
0.038356	-1.525
0.041096	-2.3875
0.043836	0.0333
0.046575	-0.0458
0.049315	-1.6167
0.052055	-1.925
0.054795	-2.8708
0.057534	-8.0042
0.060274	-5.4727
0.063014	-3.6625
0.065753	4.9292
0.068493	4.9875
0.071233	3.2542
0.073973	0.9167
0.076712	3.5042
0.079452	0.4458
0.082192	-1.1208
0.084932	0.8125
0.087671	0.6333
0.090411	-4.31
0.093151	-4.1083
0.09589		-5.0625
0.09863		-9.3417
0.10137		-9.7875
0.10411		-5.0333
0.106849	-3.0667
0.109589	-4.4792
0.112329	-2.2667
0.115068	-1.7375
0.117808	1.1208
0.120548	0.6708
0.123288	-0.9667
0.126027	-2.1875
0.128767	-0.3958
0.131507	-1.9375
0.134247	-2.7792
0.136986	-1.3917
0.139726	-4.8583
0.142466	-7.7667
0.145205	-6.55
0.147945	-3.7208
0.150685	-8.9917
0.153425	-8.7208
0.156164	-7.175
0.158904	-11.6292
0.161644	-12.3
0.164384	-9.0625
0.167123	-6.2583
0.169863	-7.0875
0.172603	-8.3167
0.175342	-3.8
0.178082	-1.5792
0.180822	-0.8583
0.183562	-2.25
0.186301	-1.8875
0.189041	-2.6958
0.191781	-1.1208
0.194521	1.3792
0.19726		0.1542
0.2		-1.6792
0.20274		-4.95
0.205479	-7.3292
0.208219	-7.5333
0.210959	-6.125
0.213699	-1.0917
0.216438	-2.0042
0.219178	-0.4292
0.221918	-0.1667
0.224658	0.0958
0.227397	0.7458
0.230137	3.8167
0.232877	-1.8
0.235616	-3.3125
0.238356	-3.7375
0.241096	-2.3875
0.243836	-1.4625
0.246575	-0.7375
0.249315	-1.1125
0.252055	0.6042
0.254795	0.7
0.257534	4.3875
0.260274	4.7125
0.263014	3.2167
0.265753	5.4
0.268493	8.3958
0.271233	7.5083
0.273973	3.3292
0.276712	2.2
0.279452	4.0208
0.282192	6.075
0.284932	8.3625
0.287671	7.5
0.290411	8.2583
0.293151	9.2
0.29589		11.2208
0.29863		12.3875
0.30137		17.1917
0.30411		11.5167
0.306849	9.8417
0.309589	7.7458
0.312329	8.2583
0.315068	7.6292
0.317808	7.25
0.320548	6.8875
0.323288	6.4125
0.326027	7.1708
0.328767	6.725
0.331507	8.2583
0.334247	8.7792
0.336986	5.85
0.339726	8.4375
0.342466	11.8417
0.345205	13.5375
0.347945	15.7667
0.350685	17.2833
0.353425	15.9042
0.356164	15.3417
0.358904	15.65
0.361644	15.075
0.364384	17.2917
0.367123	16.9375
0.369863	17.8208
0.372603	18.5083
0.375342	15.225
0.378082	13.4542
0.380822	13.7292
0.383562	16.5292
0.386301	16.7208
0.389041	16.45
0.391781	17.6292
0.394521	17.6333
0.39726		17.0417
0.4		17.7125
0.40274		17.6125
0.405479	16.4458
0.408219	19.7833
0.410959	20.45
0.413699	16.3875
0.416438	17.6792
0.419178	21.0542
0.421918	23.0708
0.424658	20.1792
0.427397	12.6292
0.430137	14.3208
0.432877	18.6375
0.435616	18.175
0.438356	20.25
0.441096	21.5773
0.443836	15.5083
0.446575	16.05
0.449315	15.6125
0.452055	16.6125
0.454795	16.6375
0.457534	16.1792
0.460274	14.3875
0.463014	14.8042
0.465753	15.1458
0.468493	11.9833
0.471233	12.3208
0.473973	12.0417
0.476712	12.9292
0.479452	15.1208
0.482192	16.5917
0.484932	18.825
0.487671	21.2417
0.490411	22.2
0.493151	15.6333
0.49589		14.2417
0.49863		15.2
0.50137		17.0957
0.50411		18.9292
0.506849	20.6375
0.509589	18.7875
0.512329	20.8667
0.515068	16.95
0.517808	18.5708
0.520548	18.125
0.523288	18.9833
0.526027	19.6125
0.528767	19.6458
0.531507	21.2917
0.534247	22.2375
0.536986	22.2292
0.539726	23.7
0.542466	24.4792
0.545205	22.1458
0.547945	22.1917
0.550685	23.3792
0.553425	21.2542
0.556164	19.4167
0.558904	20.6875
0.561644	22.7458
0.564384	25.0875
0.567123	25.2833
0.569863	25.7167
0.572603	22.8042
0.575342	22.8875
0.578082	22.5542
0.580822	24.8958
0.583562	24.8625
0.586301	22.3
0.589041	21.9042
0.591781	21.8583
0.594521	20.3292
0.59726		18.475
0.6		20.7708
0.60274		25.1
0.605479	22.45
0.608219	21.7727
0.610959	17.5
0.613699	14.8333
0.616438	15.8917
0.619178	13.85
0.621918	16.7
0.624658	19.7706
0.627397	18.9208
0.630137	16.8083
0.632877	18
0.635616	15.725
0.638356	15.0125
0.641096	16.4958
0.643836	20.7583
0.646575	16.0083
0.649315	13.7042
0.652055	12.9875
0.654795	12.2958
0.657534	14.4667
0.660274	15.1375
0.663014	15.9125
0.665753	13.8583
0.668493	14.15
0.671233	15.1875
0.673973	15.725
0.676712	14.8542
0.679452	16.1708
0.682192	16.5208
0.684932	15.3708
0.687671	15.4042
0.690411	15.3375
0.693151	14.6583
0.69589		13.375
0.69863		13.6958
0.70137		12.8292
0.70411		13.0417
0.706849	12.5125
0.709589	11.2542
0.712329	13.9417
0.715068	17.475
0.717808	17.95
0.720548	15.4292
0.723288	15.8542
0.726027	11.1917
0.728767	10.4375
0.731507	7.7
0.734247	7.9292
0.736986	12.8042
0.739726	11.8042
0.742466	7.1417
0.745205	6.5208
0.747945	10.0458
0.750685	7.1375
0.753425	5.3292
0.756164	6.6833
0.758904	6.4458
0.761644	11.8125
0.764384	9.1417
0.767123	6.4458
0.769863	8.9583
0.772603	13.1292
0.775342	12.5333
0.778082	9.4292
0.780822	12.2208
0.783562	15.4125
0.786301	14.1583
0.789041	14.1167
0.791781	11.6542
